"title","totalScore","reviewsCount","price","street","city","categoryName","rank","popularTimesLiveText"
"Restaurant ""Schäferstuben""","4.9","14",,"Hauptstraße 7","Faßberg","Restaurant","41",
"Restaurant Grill Oriental","4.2","316","€1–10","Oberer Graben 73","Ingolstadt","Syrian restaurant","79","As busy as it gets"
"Klosterwirtschaft","4.6","552","€20–30","Hauptstraße 23","Karlshuld","Bavarian restaurant","78",
"Pohler Events Burger & More","4.8","19","€1–10","Am Südhorn 10","Faßberg","Snack bar","51",
"Pizzeria Michelangelo","4.3","1187","€10–20","Theodor-Heuss-Straße 27","Ingolstadt","Italian restaurant","76",
"Chai Roti","4.6","560","€20–30","Dollstraße 10","Ingolstadt","Indian restaurant","84","Not too busy"
"VesTa Grillhouse & Ouzerie Bar","4.4","638","$$$","Dollstr, in der Ouzerie 13","Ingolstadt","Steak house","74",
"Restaurant Traditonal - Ingolstadt","4.3","211","€10–20","Friedhofstraße 10","Ingolstadt","Restaurant","80",
"Restaurant Miro Reichertshofen","4.6","499","€1–10","Neuburger Str. 34","Reichertshofen","Turkish restaurant","73","As busy as it gets"
"Pizzeria Romi Ingolstadt","4.1","263","€10–20","Martin-Hemm-Straße 1","Ingolstadt","Pizza restaurant","77","As busy as it gets"
"Maharani Indisches Restaurant","4.6","663","€20–30","Friedrichshofener Str. 16","Ingolstadt","Indian restaurant","71","Less busy than usual"
"PADU Restaurant","4.9","22","€10–20","Am Sportpl.","Ernsgaden","Traditional restaurant","75",
"Restaurant Gandhi","4.4","455","€20–30","Feldkirchener Str. 31","Ingolstadt","Indian restaurant","68",
"Antalya Restaurant - Ingolstadt","4.3","517","€20–30","Dollstraße 6","Ingolstadt","Turkish restaurant","69",
"Sönmez beim A.T.U Nord","5","179","€1–10","Römerstraße 48","Ingolstadt","Kebab shop","66",
"Der Landgasthof Gut Winkelacker","4.6","960","€20–30","Am Euler 52","Ingolstadt","Bavarian restaurant","72",
"Imbiss Am Schafstall","4.6","9",,,"Faßberg","Restaurant","40",
"Restaurant K&K","4.7","39","€1–10","Friedrich-Ebert-Straße 52","Ingolstadt","Turkish restaurant","65",
"El Greco","4","538","€20–30","Theresienstraße 22","Ingolstadt","Greek restaurant","70",
"the golden","4.5","600","€10–20","Kupferstraße 28","Ingolstadt","Hamburger restaurant","64",
"Gasthaus Heidesee","4.2","584","€20–30","Schulstraße 11A","Faßberg","German restaurant","38",
"Pizzeria La Cassetta","4.2","402","€10–20","Geisenfelder Str. 4","Manching","Italian restaurant","67","Now: Usually a little busy"
"Restaurant Nikopolis","4.7","737","€20–30","Beilngrieser Str. 126","Ingolstadt","Greek restaurant","62",
"Athen","4","951","€10–20","Karlskroner Str. 19","Ingolstadt","Greek restaurant","61","A little busy"
"Niemeyer's Romantik Posthotel","4.5","295","$147","Hauptstraße 7","Faßberg","Hotel","34",
"Mr. Wu Chinesisch und Mongolisches Restaurant & Hotel Mit Kegelbahn","3.8","358","€20–30","Lotharstraße 64","Südheide","Asian restaurant","31","Now: Usually not too busy"
"AMAYA RESTAURANT Sushi & Bar","4.6","787","€20–30","Mauthstraße 8","Ingolstadt","Asian fusion restaurant","63","A little busy"
"Restaurant Akropolis","4.1","470","€20–30","Hauptstraße 13","Faßberg","Greek restaurant","21","Now: Usually as busy as it gets"
"Hotel- Restaurant „Im Wiesengrund“ GmbH & Co. KG","4.5","524","£93","Weesener Str. 17","Südheide","Hotel","27",
"India House","4.7","194","€10–20","Martin-Ludwig-Straße 17","Gaimersheim","Indian restaurant","60",
"Kavala Restaurant","4.4","610","€20–30","Kopernikusstraße 17","Kösching","Greek restaurant","57","Busier than usual"
"Landhaus Müden und Restaurant Bierstube","4.6","207","$97","Hermannsburger Str. 2","Faßberg","Hotel","29",
"goldbraun","4","430","€10–20","Poppenstraße 1","Ingolstadt","Hamburger restaurant","55","Busier than usual"
"NyNaMy Restaurant","4.5","603","€10–20","Ingolstädter Str. 140","Ingolstadt","Vietnamese restaurant","51","As busy as it gets"
"Restaurant Landliebe","4.3","80","€20–30","Postweg 2","Südheide","Restaurant","37",
"Restaurant Ciao","4.5","2",,"Regensburger Str. 284","Ingolstadt","Italian restaurant","50",
"Mik Mik.Four","4.8","367","€1–10","Proviantstraße 12","Ingolstadt","Takeout Restaurant","49","Less busy than usual"
"Gasthaus Mittl","4.4","464","€10–20","Canisiusstraße 9","Ingolstadt","Bavarian restaurant","53",
"Restaurant ""Bistro INGOLD""","4.6","24",,"Schloßlände 24","Ingolstadt","Restaurant","47",
"Restaurant Kapadokien","4.7","190","€1–10","Ingolstädter Str.","Manching","Turkish restaurant","59",
"Caffè Italia","4.4","519","€10–20","Am Westpark 6","Ingolstadt","Ice cream shop","45","Now: Usually not too busy"
"Mitten.drIN by Sipl","4.2","761","€10–20","Rathauspl. 4","Ingolstadt","Cafe","44","Not busy"
"BLISS Fusion Restaurant Sushi-Burger-Pasta","4.8","19","€20–30","Erni-Singerl-Straße 1","Ingolstadt","Restaurant","48",
"FLAIR - Indochine Restaurant & Bar","4.9","102","€20–30","Donaustraße 12","Ingolstadt","Asian restaurant","43","Busier than usual"
"Avus","4.6","505","$$$","Auto-Union-Straße 1","Ingolstadt","Restaurant","46",
"MANILU | Restaurant & Bar","5","2",,"Am Westpark 2","Ingolstadt","Restaurant","42",
"Gaststätte Oxmox","4.6","131","€10–20","Große Horststraße 59","Faßberg","Restaurant","18",
"Restaurant Ali Baba","3.9","321","€10–20","Liebigstraße 2C","Ingolstadt","Turkish restaurant","41","A little busy"
"Mr. Wang","4.6","1561","€30–40","Celler Str. 69","Uelzen","Buffet restaurant","17","Not too busy"
"ANTALYA IMBISS FAßBERG Lieferservice","3.8","280","€1–10","Große Horststraße 28","Faßberg","Takeout Restaurant","15","Now: Usually as busy as it gets"
"OASE - Haus Schlichternheide","4.5","314","$$","Große Horststraße 20-22","Faßberg","Restaurant","19",
"Hotel TraumzeitHof","4.4","130","$125","Loher Str. 16","Eschede","Hotel","13",
"Waldschänke","4.4","82",,"Waldweg 2","Faßberg","Gastropub","20",
"Eiscafe bei Tony","4","187","€10–20","Lange Reihe 4","Faßberg","Restaurant","16","Now: Usually not busy"
"Bahnhofsgaststätte Poitzen","4.6","193","€10–20","Poitzen 14","Faßberg","Restaurant","12",
"Luther's Carpe Diem | Restaurant und Catering Suderburg","4.5","297","€10–20","In den Twieten 14","Suderburg","Restaurant","10",
"GHG Faßberg e.V.","4.4","131",,"Fliegerhorst 16","Faßberg","Club","14","Now: Usually not too busy"
"Hösseringer Hof GbR","4.3","67",,"Heerstraße 14","Suderburg","Restaurant","8",
"Paddys Eck - Kneipe | Biergarten | Foodtruck","4.6","108","€20–30","Am bhf 1","Suderburg","Pub","7",
"Taverna - ""Der Grieche""","4.5","509","€20–30","Hauptstraße 25","Suderburg","Greek restaurant","11",
"Gasthaus Dehrmann","4.6","93","€10–20","Böddenstedter Weg 2","Suderburg","Restaurant","5",
"Sven Pehmöller BBQ Catering Service","5","10",,"Beim Jagdhaus 12","Suderburg","Caterer","9",
"Burger House Faßberg","4.2","141","€10–20","Große Horststraße 30","Faßberg","Hamburger restaurant","3","Now: Usually not too busy"
"Gaststätte Spiller Inh. Anneliese Müller","4.5","63",,"Hauptstraße 28","Suderburg","German restaurant","6",
"Gasthaus Lindenhof","3.8","297","€10–20",,"Sprakensehl","Restaurant","1","Now: Usually not busy"
"HOT WOK","4.4","219","€10–20","Lange Reihe 4a","Faßberg","Restaurant","4","Now: Usually not too busy"
"La Piazetta Ristorante Pizzeria","4.8","16","€10–20","Am Pfannenstiel 10","Lenting","Italian restaurant","37",
"Hünkar Restaurant","4","193","€10–20","Friedrich-Ebert-Straße 37","Ingolstadt","Restaurant","26","Now: Usually a little busy"
"Ingo's Faßberg","4.5","754","€10–20","Große Horststraße 48","Faßberg","Gastropub","2","A little busy"
"das ""Mo"" - Neue Galerie","4.4","2444","€20–30","Bergbräustraße 7","Ingolstadt","Bavarian restaurant","20","A little busy"
"Hans im Glück","4.2","2333","€10–20","Ludwigstraße 10","Ingolstadt","Hamburger restaurant","38","A little busy"
"Restaurant Istanbul In","4.6","128","€1–10","Ganghoferstraße 1","Ingolstadt","Turkish restaurant","18","Busier than usual"
"Restaurant Aphrodite / Ingolstadt","4.5","980","€20–30","Kreuzstraße 4","Ingolstadt","Greek restaurant","17","A little busy"
"Cafe Restaurant Zarrillo","4.6","380","€10–20","Liegnitzer Str. 2a","Ingolstadt","Italian restaurant","16","Less busy than usual"
"Weissbräuhaus zum Herrnbräu","4.3","2361","€20–30","Dollstraße 3","Ingolstadt","Bavarian restaurant","15","Less busy than usual"
"Delphi Griechisches Restaurant","4.5","1288","€20–30","Ludwigstraße 9","Ingolstadt","Greek restaurant","13","Busier than usual"
"Restaurant San Pio","4.5","201","€10–20","u. Marktstraße 41","Kösching","Italian restaurant","19","Now: Usually as busy as it gets"
"Sperling Speiselokal","4.5","239","€20–30","Dammweg 1","Großmehring","German restaurant","12",
"Wirtshaus Zum Pauli","4.4","1410","€20–30","Akeleistraße 12","Ingolstadt","Bavarian restaurant","11","A little busy"
"KiKO Running Sushi","4.1","771","€20–30","Am Westpark 2","Ingolstadt","Sushi restaurant","29","As busy as it gets"
"Kokono Restaurant Ingolstadt","4.5","617","€20–30","Friedrichshofener Str. 1","Ingolstadt","Japanese restaurant","14","Not too busy"
"Restaurant Poseidon","4.5","1216","€20–30","Am Stein 1","Ingolstadt","Greek restaurant","9","Less busy than usual"
"Restaurant Poseidon","4.6","860","€20–30","Stadtpl. 11","Geisenfeld","Greek restaurant","8",
"Indian Mantra","4.7","392","€20–30","Steinheilstraße 1","Ingolstadt","Indian restaurant","6","A little busy"
"Donaustrand Ingolstadt","4.4","381","€1–10","Donaulände","Ingolstadt","Bar","5",
"Safran Indisches Restaurant Ingolstadt","4.5","638","€10–30","Schmalzingergasse 15","Ingolstadt","Indian restaurant","10","Less busy than usual"
"Gasthaus Bonschab","4.3","2027","€10–20","Münchener Str. 8","Ingolstadt","Bavarian restaurant","2","As busy as it gets"
"Da Gino Restaurant - Ingolstadt","4.7","498","$$$","Donaustraße 8","Ingolstadt","Italian restaurant","7","As busy as it gets"
"Cocoon Restaurant Ingolstadt","4.4","830","€20–30","Neuburger Str. 19","Ingolstadt","Asian restaurant","4","Not too busy"
"Gasthaus Almschänke","4.4","648",,"Weicheringer Str. 146","Ingolstadt","Bavarian restaurant","3","Less busy than usual"
"Mühlencafé Brome","4.7","72","€10–20","Mühlenstraße 8","Brome","Cafe","54",
"Cadera Hansaplatz","4.1","125","€1–10","Hansapl. 4","Wolfsburg","Bakery","53",
"BRAUNER HIRSCH",,"0",,,"Klötze","Restaurant","50",
"Restaurant Taj Mahal - Ingolstadt","4.4","883","€10–20","Beckerstraße 11","Ingolstadt","Indian restaurant","1","Not too busy"
"Mastro Pino Steinofen Pizzeria","4.7","127","€10–20","Mastro Pino, Hansapl. 2a","Wolfsburg","Pizza restaurant","49",
"Vereinsheim - Bei Zilis","4.5","131","€10–20","Alte Schulstraße","Wolfsburg","Greek restaurant","45",
"Aperitivo","4.5","103","€10–20","Meinstraße 61","Wolfsburg","Pizza Takeout","51",
"Fremdenzimmer in Mieste ( altes Freibad )","4.5","15",,"Am Freibad 12","Gardelegen","Restaurant","39",
"Dorfgemeinschaftshaus Holtlingen Inh. Sigrid Neubert","4.5","56","€10–20","Am Sportpl. 4","Tiddische","Gastropub","36",
"Gaststätte & Pension ""Drömlinger"" Kerstin Lewald","4.3","3",,"Breiteiche 7","Gardelegen","Restaurant","46",
"Steak+ Burger House","2","1",,,"Wolfsburg","Restaurant","31",
"Astrapott","4.7","87","€10–20","Hansapl. 14","Wolfsburg","Gastropub","43",
"EAT HAPPY","4.8","4",,"Allerstraße 1","Wolfsburg","Sushi takeaway","28","Now: Usually a little busy"
"Döner Center Mieste","4.7","113","€1–10","Riesebergstraße 49","Gardelegen","Restaurant","26","Now: Usually as busy as it gets"
"Gaststätte Faitschenkrug","4.5","102","€10–20","Zum Wipperteich 10","Rühen","Restaurant","37",
"FERDINANDS Restaurant","4.8","209","££","Neue Reihe 5","Wolfsburg","Restaurant","23",
"Abacco ""Event Atelier""",,"0",,"Röwitzer Str. 11","Oebisfelde","Dance restaurant","20",
"Hotel & Restaurant Schützenhaus Vorsfelde - Jovica Davidovic","3.5","137","$$","Meinstraße 86","Wolfsburg","Restaurant","19","Now: Usually not too busy"
"Hira Restaurant","4.4","291","€1–10","Lange Str. 9","Wolfsburg","Restaurant","18","Now: Usually not too busy"
"Delikat-Grill","4.2","369","€1–10","Lessingstraße 24","Oebisfelde","Doner kebab restaurant","17","Now: Usually not too busy"
"Hansaplatz Imbiss","4.5","197","€1–10","Hansapl. 18","Wolfsburg","Restaurant","24","Now: Usually not busy"
"Sporty seit 2022","5","5",,"Steimker Str. 14","Brome","Gastropub","16",
"Athen - Gaststätte Unter den Eichen","4.5","232","€20–30","Unter den Eichen 1","Parsau","Greek restaurant","14",
"Jorgos","4.1","683","€20–30","Oebisfelder Str. 100","Rühen","Greek restaurant","12",
"Hotel Hildebrandt","4.5","188","£75","Bauernende 12","Oebisfelde","Hotel","13",
"Gastwirtschaft Glupe","4.8","63","$$","Hauptstraße 40","Tülau","Restaurant","11",
"Asia Bistro","4.4","361","€10–20","Bahnhofstraße 59","Brome","Vietnamese restaurant","10",
"Bunga's Imbiss Mieste","4.1","51","€1–10","Bahnhofstraße 12","Gardelegen","Fast food restaurant","15",
"Orient Grill Rühen Döner Kebap","4.2","447","€1–10","Hauptstraße 23","Rühen","Takeaway","8","Now: Usually not too busy"
"Haus Altmark","4.6","457",,"Thälmannstraße 1","Gardelegen","Restaurant","7",
"Orient Grill Wolfsburg-Vorsfelde","4.2","249","€1–10","Meinstraße 98","Wolfsburg","Fast food restaurant","29","Now: Usually a little busy"
"Gaststätte Zur Schmiede","4.2","184","€10–20","Brandstraße 3","Gardelegen","Restaurant","9",
"Rescue Grill GmbH",,"0",,"Am Kälberanger 4","Parsau","Takeaway","4",
"Hotel Hubertus","4","301",,"Am Wildgehege 3","Brome","German restaurant","2",
"Tony's Restaurant im Remmler Hof deutsche und vietnamesische Küche in Brome Restaurant mit Biergarten","4.9","97","€20–30","Bahnhofstraße 4","Brome","Restaurant","6",
"Bistro 2000","3.6","266","€1–20","Bahnhofstraße 18","Brome","Restaurant","1","Now: Usually a little busy"
"Landhotel & Restaurant Fahrenkamp","4.6","110","£82","Sonnenstraße 1","Klötze","German restaurant","5",
"Das Eisfräulein","4.9","21","€1–10","Hauptstraße 109","Niederorschel","Sundae restaurant","119",
"Bodrum Grillhaus in Auerbach/Vogtland","3.3","31","€1–10","Bebelstraße 16","Auerbach","Pizza Takeout","140",
"Elan-Tankstelle","3.8","164",,"Lengenfelder Str. 4A","Rodewisch","Gas station","146",
"bft Tankstelle","4.5","235",,"Wernesgrüner Str. 39 c","Rodewisch","Petrol Station","147","Now: Usually not busy"
"Das Weihnachtsland - im Erzgebirge","4.5","1145",,"Schönheider Str. 70","Stützengrün","Christmas store","144",
"Skihütte Sport Albert","4.6","66",,"Floßgrabenweg 2C","Klingenthal","Ski rental service","143",
"Fleischerei Strangfeld","4.5","10",,"Richardshöhe 13","Auerbach","Butcher shop","142",
"Gaststätte ""Strandhaus Schloßhalbinsel""","4.8","155","€10–20","Schloßhalbinsel","Pöhl","Restaurant","141",
"DITO Ehrliche philippinische Küche",,"0",,"Göltzschtalstraße 36","Auerbach","Filipino restaurant","139",
"Pension Rölz","4.9","14",,"Carlsfelder Str. 12","Eibenstock","Boarding house","145",
"Partyservice Eibenstock - Holger Witscher","4.8","24",,"Siedlung des Friedens 35","Eibenstock","Caterer","137",
"Imbiss zur Jess","5","2",,"Rebesgrüner Str. 11","Treuen","Snack bar","135",
"Restaurant zum Falken","4.1","32","€20–30","Amtsstraße 1","Falkenstein","Restaurant","20",
"Asiaimbiss Ha Long","4.2","135","€1–10","Oststraße 22","Treuen","Chinese takeaway","134","Now: Usually not too busy"
"Meisel Event Koch","5","4",,"Lassallestraße 13","Auerbach","Caterer","133","Now: Usually not busy"
"Pension & Gasthof Zum Windrad - Petra Flechsing","4.1","49",,"Albertsberger Str. 27","Auerbach","Inn","132",
"Pension ""Weidmannsheil""","4.2","54",,"Pension ""Weidmannsheil Sachsengrund 8 08262","Muldenhammer","Guest house","131",
"Ellefelder Speisewagen","4.7","302","€1–10","Marktpl. 2-1","Ellefeld","Snack bar","130",
"Günthers Imbißstube","4.9","19",,"Hauptstraße 20","Schönheide","Snack bar","129",
"Grillpause","4","1",,"Schönheider Str. 65","Stützengrün","Snack bar","128",
"Pension & Landgasthof Zur Försterei","4.5","125",,"Zur Försterei 5","Muldenhammer","Bed & breakfast","127",
"Restaurant ""Zum Flötenoger""",,"0",,"Breitensamer Weg","Neuensalz","Hamburger restaurant","126",
"der Auftragsgriller Markus Hendel | Catering | Partyservice","4.8","16",,"Friedensring 6A","Treuen","Caterer","125",
"Altes Kaffeehaus Gaststätte","4.4","358","€10–20","Klingenthaler Str. 200","Auerbach","Cafe","136",
"Asia Pfanne","4.6","34","€1–10","Pestalozzistraße 2","Falkenstein","Snack bar","123",
"Raststätte zur Waldhummel - Stützengrün","4.6","183","€1–10","Am Hohen Stein 22A","Stützengrün","Restaurant","122",
"Bernd Seifert Landhotel Lichte Aue","4.7","163","$64","Bärenwalder Str. 14","Stützengrün","Hotel","138",
"Aladdin Kebap","3.9","123","€1–10","Hauptstraße 81","Schöneck","Kebab shop","120",
"Gaststätte Zur Talsperre","4.2","70",,"Klingenthaler Str. 9","Grünbach","German restaurant","119",
"Yildiz Döner und Pizza","4.8","222","€1–10","Pfarrstraße 5","Treuen","Restaurant","118",
"Goldener Hirsch Gaststätte","4.4","122","€10–20","Hauptstraße 19","Stützengrün","Gastropub","117",
"Grill-Imbiss-Jakubec",,"0",,"Alte Auerbacher Str. 7","Schönheide","Grill","121",
"Gasthaus Voigtsgrün","4.5","208","€20–30","Dorfring 12","Neuensalz","German restaurant","113",
"Der Grill","4.4","101","€1–10","Bahnhofstraße 45","Treuen","Snack bar","114",
"Eis-Karli","4.6","59","€1–10","Albert-Schweitzer-Straße 36","Auerbach","Sundae restaurant","124",
"Orientalisches Pizza Döner Haus","3.9","108","$","Auerbacher Str. 14","Stützengrün","Restaurant","116",
"Pizzeria Peppe Treuen","4.5","342","€10–20","Königstraße 26","Treuen","Restaurant","111",
"Bistro & Eiscafe Zur Mel","4.7","368","€10–20","Schulstraße 5","Eibenstock","Bistro","110",
"Festgarten","3.6","7",,"Bergstraße 7","Eibenstock","Fast food restaurant","108",
"M&M Culinaire ~ Gastro und Events","5","2",,"Auerbacher Str. 30","Rodewisch","Restaurant","109",
"Pizza-Phone Rodewisch","4.4","54","€1–10","Wernesgrüner Str. 34","Rodewisch","Pizza delivery","105",
"Cafe Maya - mexikanisches Essen und mehr","4.9","53","€20–30","Café Maya, Altmarkt 4","Auerbach","Restaurant","107",
"Café & Gelateria Venezia","4.4","522",,"Breitscheidstraße 16","Auerbach","Cafe","112",
"Imbiss Kielfloßgraben","2.9","28","€1–10","Floßgrabenweg","Klingenthal","Restaurant","115",
"Café Campus","4.8","487","€10–20","Waldstraße 2a","Schöneck","Cafe","104",
"Gaststätte Lichte Aue - Bernd Seifert","4.7","127","€20–30","Bärenwalder Str. 14","Stützengrün","Restaurant","102",
"Tanny's Bratpfanne","4.4","33","€1–10","Weg zur Handlung 5","Eibenstock","Fast food restaurant","100",
"Gasthof Schneider","4.6","282","€10–20","Treuener Str. 21","Falkenstein","Restaurant","106",
"Wurzelrudis Adleralm","4.5","74","€1–10","Heckleitenweg","Eibenstock","Fast food restaurant","98",
"Kutscher-Stub'","4.7","24","€1–10","Alte Auerbacher Str. 29","Schönheide","Takeout Restaurant","103",
"Lecker Essen bei Egon","4.5","11",,,"Eibenstock","Snack bar","97",
"Hotel Am Bühl","4.6","1966","$122","Am Bühl 1","Eibenstock","Hotel","94",
"Café Oriental","4.7","40","€10–20","Goldberg 1","Steinberg","Restaurant","95",
"Softeis Imbiss","4.8","59","€1–10",,"Rodewisch","Sundae restaurant","96",
"Ristorante Pizzeria Pension Damiano","4.7","223","€10–20","Auerbacher Str. 2","Muldenhammer","Pizza restaurant","93",
"Pension im Vogtland - Landgasthof & Pension Waldeck","4.1","213","$88","Wetzelsgrün 26","Treuen","Hotel","92",
"Wirtshaus Kottengrün",,"0",,"Hauptstraße 39","Werda","Western restaurant","101",
"Landgasthof Plohnbachtal","4.7","374","£88","Landgasthof Plohnbachtal UG, Rodewischer Str. 23","Lengenfeld","German restaurant","90",
"Esskultur",,"0",,"Neuensalzer Str. 7","Theuma","Restaurant","88",
"Gaststätte Zur Mutsch","4.3","114","€10–20","Hammerbrücker Str. 30","Falkenstein","German restaurant","99",
"Hotel und Gasthof Flößerstube - Jan Rauscher","4","342","$98","Klingenthaler Str. 3","Grünbach","Hotel","87",
"China-Thai Bistro","4.4","250","€10–20","Schneeberger Str. 13A","Eibenstock","Bistro","86",
"Am Rölzhang","4.7","39","€1–20","Alte Poststraße","Eibenstock","Restaurant","85",
"Zur Kutscherstube","4.2","51","€1–10","Schönheider Str. 75","Auerbach","Restaurant","84",
"Gaststätte „Turnhalle Ellefeld“","4.6","81","€10–20","Turnstraße 5","Ellefeld","German restaurant","83",
"Hotel Zur Post","4.5","331","$75","Hauptstraße 101","Schönheide","Inn","82",
"Imbiss in der Erlebnisköhlerei","4.4","96","€1–10","An d. Talsperre 4","Eibenstock","Takeout Restaurant","81",
"Gaststätte zum Weihnachtsland","4.5","124","€10–20","Schönheider Str. 70","Stützengrün","German restaurant","80",
"Hinterhainer Hutznstub","4.3","116","€10–20","Klingenthaler Str. 45C","Auerbach","Restaurant","78",
"Genuss im Fachwerk","4.7","115","€20–30","Rützengrüner Str. 1","Rodewisch","Restaurant","79",
"Bambus-Haus China-Thai","4.3","510","€10–20","Hainstraße 9","Auerbach","Asian restaurant","76",
"Waldhotel Vogtland","4.6","628","$131","Floßgrabenweg 1","Klingenthal","Hotel","75",
"Zur Tanne","4.3","341","€10–20","Klingenthaler Str. 24","Muldenhammer","German restaurant","91",
"Gaststätte Vaterland","4.7","144","€20–30","Munzstraße 2","Treuen","German restaurant","74",
"Gaststätte und Pension ""Zum Torfstich""","4.5","671","$93","Hauptstraße 43","Stützengrün","Restaurant","89",
"Hotel Jägerhalle","4.4","322","$70","Schloßstraße 50","Falkenstein","Restaurant","72",
"Onkel Döner - Döner & Pizza","4.4","77","€1–10","Postpl. 3","Eibenstock","Kebab Shop","77","Now: Usually not too busy"
"Auersberg Haus","4","803","€1–10","Auersberg","Eibenstock","Restaurant","70",
"Berggaststätte Steinberg","4.7","861","€20–30","Steinbergstraße 1","Steinberg","European restaurant","69",
"Gaststätte Juchhöh","4.7","425","€20–30","Hauptstraße 25","Tirpersdorf","Restaurant","68",
"Asia Imbiss & Döner","4","24",,"Zur Sternkoppel 1","Rodewisch","Asian restaurant","73",
"Restaurant Zum Friesenberg","4.6","97","€10–20","Alte Plauener Str. 9 A","Plauen","Restaurant","66",
"Gasthof zur Eiche","4.6","326","€20–30","Hinterhain, Klingenthaler Str. 22","Auerbach","Restaurant","65",
"Gaststätte Pension Streuberg","4.6","285","$","Bergener Str. 49","Theuma","Gastropub","64","Now: Usually not too busy"
"Was Guckst Du Pizza Döner Haus Falkenstein","4.1","203","€1–10","Ellefelder Str. 4","Falkenstein","Pizza Takeaway","71","Now: Usually not busy"
"Gasthaus Talsperre","4.6","604","$104","Talsperrenstraße 45","Eibenstock","Inn","63",
"Gaststätte „Zur Rakete“","4.8","232","€10–20","Schulstraße 12","Eibenstock","Restaurant","61",
"Gasthof Fronberg","4.7","206",,"Fichtenweg 2","Auerbach","Restaurant","60",
"AWO Menüservice","3.9","32","€1–10","Eisenbahnstraße 5","Auerbach","Restaurant","67",
"Vugelbeerbaum","5","8","€10–20","Waldstraße 4","Klingenthal","Restaurant","58","Now: Usually not busy"
"Gaststätte Bei Freunden","4.6","245","€10–20","Rempesgrüner Str. 36","Auerbach","Restaurant","57",
"Wernesgrüner Brauerei-Gutshof","4.5","1045","€20–30","Bergstraße 2","Steinberg","German restaurant","56","Not busy"
"Grummts Diner",,"0",,"Lengenfelder Str. 29A","Rodewisch","Restaurant","62",
"Pizza Döner Haus Side Rodewisch","4.2","98","€1–10","Wernesgrüner Str. 46A","Rodewisch","Takeout Restaurant","54",
"Schanzenbaude Momos Konoba","5","6","€10–20","Karl-Tiepmar-Weg 1","Rodewisch","Restaurant","53",
"DAMAK - Döner/Pizza","4","89","€1–10","Kaiserstraße 33","Auerbach","Turkish restaurant","59","Now: Usually not too busy"
"Restaurant Sirtaki","4.1","606","€20–30","Altmarkt 7","Auerbach","Greek restaurant","52",
"Restaurant Renoir","4.8","187","$$$","Schönheider Str. 235","Auerbach","Restaurant","50",
"Gaststätte Tannenbergsthal","4.2","5",,"Waldstraße 3","Klingenthal","Restaurant","55",
"Istanbul","4.4","163","€1–10","Auerbacher Str. 7","Rodewisch","Turkish restaurant","49","Now: Usually not too busy"
"Evim Antalya Rodewisch","4.2","131","€1–10","Wernesgrüner Str. 7","Rodewisch","Takeout Restaurant","48","Now: Usually not too busy"
"Pizzeria Arcobaleno","4.6","104","€10–20","Ellefelder Str. 58","Falkenstein","Pizza restaurant","47","Now: Usually a little busy"
"Hotel Carola und Restaurant Zur alten Laterne Fam. Weigel","4.3","120","$$","Hauptstraße 183","Schönheide","Restaurant","44",
"Sportgaststätte Schreiersgrün","4.7","128","€10–20","Am Fronberg 11","Treuen","Restaurant","46",
"Indian Restaurant/Indisches Essen","4","176","£52","Schönheider Str. 9","Eibenstock","Hotel","51",
"Döner & Pizzahaus Alanya","4.2","204","€1–10","Schneeberger Str. 13A","Eibenstock","Turkish restaurant","43","Now: Usually not too busy"
"Gaststätte Hesselbach","4.6","297","€10–20","Abhorner Str. 1","Rodewisch","Restaurant","26",
"Food & Specials - Franziska Seidel","4.9","68","$$","Rebesbrunner Str. 12","Rodewisch","Western restaurant","19",
"Efes","4.8","377","€1–10","Neumarkt 11","Auerbach","Turkish restaurant","18","Now: Usually not busy"
"Hotel Falkenstein","4.3","502",,"Amtsstraße 1","Falkenstein","Bed & breakfast","17",
"Ganesha Indische Spezialitäten","4.5","53","€10–20","Kaiserstraße 27","Auerbach","Indian restaurant","16","Now: Usually not too busy"
"""Grünes Tal"" in Brunn","4.6","403","€10–20","Alte Str. 27","Auerbach","Restaurant","34","Not too busy"
"Asiabistro","4.3","292","€1–10","Mühlberg 2","Auerbach","Asian restaurant","13",
"Holzofen Peperoncino","4.6","181","€10–20","Dr.-Wilhelm-Külz-Straße 22","Auerbach","Italian restaurant","12","Now: Usually a little busy"
"McDonald's","3.7","1505","€10–20","Göltzschtalstraße 79","Auerbach","Fast food restaurant","15","Not busy"
"Gaststätte ""Ritterhof""","4.6","16",,"Rathenaustraße 2","Auerbach","Restaurant","45",
"Grillhaus Anatolien Auerbach/Vogtland","4","182","€1–10","Plauensche Str. 10","Auerbach","Barbecue restaurant","10","Now: Usually not too busy"
"Restaurant Evim Antalya","4.3","232","€1–10","Göltzschtalstraße 33","Auerbach","Turkish restaurant","14","Now: Usually not too busy"
"Gaststätte Bauernschänke","4.5","376","€10–20","Grünbacher Str. 33","Muldenhammer","German restaurant","8",
"Hotel Restaurant Forstmeister - Seidel & Göpel Hotelbetriebs GmbH & Co. KG","4.5","948","£85","Auerbacher Str. 15","Schönheide","Restaurant","7","Less busy than usual"
"Gaststätte und Pension Zur Goldenen Höhe","4.4","647","€10–20","Goldene Höhe 3","Treuen","German restaurant","11","Not too busy"
"Hotel Wettin - Restaurant","4.7","19",,"Bahnhofstraße 16","Treuen","Restaurant","4",
